"Table with row headers in column A and column headers in rows 8 through 9, 87 through 88, 166 through 167, 245 through 246, 324 through 325, 403 through 404, 482 through 483, 561 through 562, and 600 through 601",,,,,
Table F-11. Age of Householder--All Families by Median and Mean Income: 1947 to 2020,,,,,
15 Years and Over,,,,,
Age and year,Number (thousands),Median income,,Mean income,
,,"Current
dollars","2020
dollars","Current
dollars","2020
dollars"
2020,"83,918","84,008","84,008","114,962","114,962"
2019,"83,698","86,011","87,085","116,735","118,192"
2018,"83,508","78,646","81,070","106,045","109,314"
2017 (40),"83,539","76,135","80,395","103,218","108,994"
2017,"83,103","75,938","80,187","100,400","106,018"
2016,"82,854","72,707","78,426","97,357","105,016"
2015,"82,199","70,697","77,242","92,673","101,252"
2014,"81,730","66,632","72,926","88,765","97,150"
2013 (39),"82,316","65,471","72,869","87,671","97,577"
2013 (38),"81,217","63,815","71,026","84,687","94,256"
2012,"80,944","62,241","70,300","82,843","93,570"
2011,"80,529","60,974","70,328","81,007","93,434"
2010 (37),"79,559","60,236","71,667","78,180","93,016"
2009 (36),"78,867","60,088","72,670","78,538","94,983"
2008,"78,874","61,521","74,144","79,634","95,974"
2007,"77,908","61,355","76,784","78,845","98,673"
2006,"78,454","58,407","75,168","77,315","99,502"
2005,"77,418","56,194","74,664","73,304","97,398"
2004 (35),"76,866","54,061","74,263","70,389","96,693"
2003,"76,232","52,680","74,321","68,563","96,729"
2002,"75,616","51,680","74,566","66,970","96,627"
2001,"74,340","51,407","75,342","66,863","97,994"
2000 (30),"73,778","50,732","76,469","65,773","99,141"
1999 (29),"73,206","48,831","76,101","62,567","97,508"
1998,"71,551","46,737","74,389","59,589","94,845"
1997,"70,884","44,568","71,897","56,902","91,795"
1996,"70,241","42,300","69,714","53,676","88,462"
1995 (25),"69,597","40,611","68,712","51,353","86,888"
1994 (24),"69,313","38,782","67,199","49,340","85,493"
1993 (23),"68,506","36,959","65,377","47,221","83,530"
1992 (22),"68,216","36,573","66,326","44,221","80,195"
1991,"67,173","35,939","66,796","43,237","80,361"
